"STATION","NAME","DATE","PRCP"
"FRM00007149","ORLY, FR","2022-06-13","0.00"
"FRM00007149","ORLY, FR","2022-06-14","0.00"
"FRM00007149","ORLY, FR","2022-06-15","0.00"
"FRM00007149","ORLY, FR","2022-06-16","0.00"
"FRM00007149","ORLY, FR","2022-06-17","0.00"
"FRM00007149","ORLY, FR","2022-06-18","0.00"
"FRM00007149","ORLY, FR","2022-06-19","0.06"
"FRM00007149","ORLY, FR","2022-06-20","0.54"
"FRM00007149","ORLY, FR","2022-06-21","0.06"
"FRM00007149","ORLY, FR","2022-06-22","0.00"
"FRM00007149","ORLY, FR","2022-06-23","0.17"
"FRM00007149","ORLY, FR","2022-06-24","0.07"
"FRM00007149","ORLY, FR","2022-06-25","0.00"
"FRM00007149","ORLY, FR","2022-06-26","0.02"
"FRM00007149","ORLY, FR","2022-06-27","0.00"
"FRM00007149","ORLY, FR","2022-06-28","0.00"
"FRM00007149","ORLY, FR","2022-06-29","0.00"
"FRM00007149","ORLY, FR","2022-06-30","0.07"
"FRM00007149","ORLY, FR","2022-07-01","0.44"
"FRM00007149","ORLY, FR","2022-07-02","0.01"
"FRM00007149","ORLY, FR","2022-07-03","0.00"
"FRM00007149","ORLY, FR","2022-07-04","0.00"
"FRM00007149","ORLY, FR","2022-07-05","0.00"
"FRM00007149","ORLY, FR","2022-07-06","0.00"
"FRM00007149","ORLY, FR","2022-07-07","0.00"
"FRM00007149","ORLY, FR","2022-07-08","0.00"
"FRM00007149","ORLY, FR","2022-07-09","0.00"
"FRM00007149","ORLY, FR","2022-07-10","0.00"
"FRM00007149","ORLY, FR","2022-07-11","0.00"
"FRM00007149","ORLY, FR","2022-07-12","0.00"
"FRM00007149","ORLY, FR","2022-07-13","0.00"
"FRM00007149","ORLY, FR","2022-07-14","0.00"
"FRM00007149","ORLY, FR","2022-07-15","0.00"
"FRM00007149","ORLY, FR","2022-07-16","0.00"
"FRM00007149","ORLY, FR","2022-07-17","0.00"
"FRM00007149","ORLY, FR","2022-07-18","0.00"
"FRM00007149","ORLY, FR","2022-07-19","0.00"
"FRM00007149","ORLY, FR","2022-07-20","0.12"
"FRM00007149","ORLY, FR","2022-07-21","0.28"
"FRM00007149","ORLY, FR","2022-07-22","0.00"
"FRM00007149","ORLY, FR","2022-07-23","0.02"
"FRM00007149","ORLY, FR","2022-07-24","0.00"
"FRM00007149","ORLY, FR","2022-07-25","0.00"
"FRM00007149","ORLY, FR","2022-07-26","0.00"
"FRM00007149","ORLY, FR","2022-07-27","0.00"
